radius rho_total rho_sf rho_qs
-0.9 0.0 0.0 0.0
-0.7000000000000001 0.0 0.0 0.0
-0.5000000000000001 0.0 0.0 0.0
-0.30000000000000016 0.0 0.0 0.0
-0.10000000000000009 0.002069999999999998 0.0014249999999999985 0.0004649999999999996
0.05 0.0123 0.00922 0.0022
0.15000000000000002 0.02916 0.02084 0.0051
0.25 0.038969999999999984 0.024539999999999992 0.008829999999999996
0.35000000000000003 0.038380000000000004 0.022450000000000005 0.011230000000000002
0.45 0.027940000000000006 0.016630000000000002 0.008690000000000002
0.55 0.016779999999999986 0.01074999999999999 0.004639999999999996
0.6500000000000001 0.010530000000000001 0.007050000000000002 0.0023300000000000005
0.75 0.007380000000000002 0.004150000000000001 0.0018600000000000005
0.8500000000000001 0.005450000000000001 0.0027300000000000007 0.0015300000000000003
0.95 0.0032700000000000008 0.0009500000000000002 0.0010000000000000002
1.05 0.0016899999999999984 0.00019999999999999982 0.0006599999999999995
1.1500000000000001 0.001039999999999999 9.999999999999991e-05 0.00038999999999999967
1.25 0.0004800000000000006 3.0000000000000038e-05 0.00019000000000000025
1.35 0.0003199999999999997 2.9999999999999974e-05 0.00013999999999999988
1.4500000000000002 0.00017000000000000023 0.0 0.00010000000000000013
1.55 7.999999999999993e-05 0.0 3.999999999999996e-05
