r50 den_tot den_tot_err den_sf den_sf_err den_qs den_qs_err
-0.9 -1.9420137509182318 0.3070925731856878 -inf nan -inf nan
-0.7000000000000001 -0.9891868018342169 0.12430742858340915 -1.0997595850919077 0.157200468112711 -inf nan
-0.5000000000000001 -0.5039722329969039 0.08263434794627142 -0.4998093713820817 0.08718750697532231 -2.8505569055883484 0.28944076701083465
-0.30000000000000016 -0.7659298148908881 0.057142709274311934 -0.7430306076846249 0.060903537164779094 -2.103972390118736 0.10929919986741475
-0.10000000000000009 -0.9234593278202802 0.04303257558468889 -0.9421086240442604 0.04574792431463887 -1.984737880555039 0.10649399363381007
0.05 -1.012677791846067 0.05650019146610773 -1.0026286478406559 0.06328398145838954 -2.1032864174467014 0.06274634587806606
0.15000000000000002 -1.3346192330353033 0.03917985971992654 -1.356045557737774 0.047254162807582316 -2.1759642790557674 0.04013990131704709
0.25 -1.4738137944705056 0.02884501731221104 -1.527663907550779 0.036610801766387965 -2.2060870851959993 0.032322487009842395
0.35000000000000003 -1.5759051896351797 0.019839653650291268 -1.627177235717343 0.02494043270488139 -2.320093650520783 0.011408282054677733
0.45 -1.6367643153121778 0.016425668009831015 -1.661898381006258 0.020262397064257396 -2.443215643677344 0.00940252181466723
0.55 -1.7413217540041201 0.010013557478810057 -1.7606684970075719 0.011370915827759426 -2.6055728440713524 0.006652387566844065
0.6500000000000001 -1.8938916513556603 0.007479456151894024 -1.905015191347109 0.008789758956226907 -2.774538175966104 0.0057193430907469
0.75 -2.1331851300084934 0.006735384859431399 -2.1405932685061613 0.007933732626258934 -3.024374691161809 0.005894108008351006
0.8500000000000001 -2.4831427950249534 0.0067478229145291595 -2.4932550139250163 0.007882969049917938 -3.3674123334143164 0.007103775878775573
0.95 -3.0246787270824114 0.007886977498391639 -3.058204522484428 0.00956093778089461 -3.808041734773748 0.008472244234701004
1.05 -3.651116227534939 0.014252285462380299 -3.745783834348843 0.019314494570991755 -4.271952569614776 0.012414959746108862
1.1500000000000001 -4.2701244513768 0.020674585866799027 -4.448729938236763 0.0327095107478043 -4.739429664985574 0.020080550661716174
1.25 -4.798549614546329 0.028275184773905067 -5.032715166749176 0.04740543362841253 -5.200366390590163 0.030624143646394018
1.35 -5.264032040583591 0.036824006325736576 -5.483121000064768 0.05957359851803346 -5.673793446327615 0.04194627920022639
1.4500000000000002 -5.652079939180532 0.06028930351249558 -5.915032327474202 0.09800707118863763 -6.092772140950111 0.07339148359541403
1.55 -6.12748212094508 0.11477091374730469 -6.333221093462891 0.18109143895630622 -6.720945928627118 0.16855989707768848
