Mr r50_tot r50_tot_err r50_sf r50_sf_err r50_qs r50_qs_err
-24.0 1.2002615599155646 0.1761134320235198 1.2121753132597746 0.19505186079419762 1.1932354022046978 0.1676068965257744
-23.8 1.1190733983701593 0.14369370308725 1.1227856686954363 0.1435066382293038 1.1156568721099251 0.1435870958056924
-23.6 1.0493057485632964 0.14397896057188328 1.0719336648812083 0.15493115734175636 1.0399455293172566 0.1380899156557356
-23.400000000000002 0.9829816811842869 0.13263469047684456 1.002009617651443 0.1383176808752398 0.9744367287822538 0.12901608119973437
-23.200000000000003 0.9139880831060894 0.13043219694046215 0.9400486837593097 0.1406420559706066 0.9033601155725678 0.12350493885883836
-23.000000000000004 0.8634945665727178 0.128170533941892 0.9017932957951982 0.13163369528121718 0.8440054727783844 0.12277927044833382
-22.800000000000004 0.8184313520683654 0.12859567541818603 0.8615608651585107 0.13066698696695833 0.7910371245751181 0.12043267764281804
-22.600000000000005 0.7735752569253227 0.12963783025362874 0.8221288819401121 0.13105120233075315 0.7406947440223774 0.11861105451746698
-22.400000000000006 0.7340491992354606 0.12966919980944322 0.7844667183113666 0.1298224261886474 0.6968356614199153 0.1173959743025365
-22.200000000000006 0.6948817718163314 0.13226538248402733 0.7484823514357284 0.12989026767469783 0.6503014276262461 0.11802513987241278
-22.000000000000007 0.6543647291299111 0.13625678460316598 0.714152417081277 0.13421453544334183 0.6006986169099422 0.1162594303702442
-21.800000000000008 0.6139853319011105 0.1407569863380011 0.6767118851382669 0.13670544898131937 0.5581819567666548 0.11982871423615979
-21.60000000000001 0.5716020062012228 0.147880996283951 0.6403215376607327 0.14296672716187805 0.5067305351419074 0.12072385594802593
-21.40000000000001 0.532386033220098 0.15500968609033536 0.6081969265685526 0.14904594171737257 0.4588796630434918 0.12339219991030344
-21.20000000000001 0.4957174444099126 0.16235107601372048 0.5785870450185999 0.15448763027944057 0.4135941214124039 0.125592493677769
-21.00000000000001 0.4668710923525967 0.17176994559489775 0.5585810872207261 0.16146109010610007 0.374073528388699 0.1291163217902473
-20.80000000000001 0.43542261777710545 0.18116522084495237 0.5312149320427677 0.16971872922168849 0.33480213006723164 0.13371750670617907
-20.600000000000012 0.41609993120733 0.19219976545666032 0.5162783976477419 0.17903997261575788 0.2962040565345837 0.1354993594810788
-20.400000000000013 0.3903138914205565 0.20185106774821254 0.4945512968072777 0.18875535312474917 0.26952015115987643 0.14584324294184697
-20.200000000000014 0.3864973645663465 0.20972703028114004 0.49627420461653193 0.1938505700194477 0.246605781403018 0.1487175790213967
-20.000000000000014 0.35746145835440957 0.22206650220806803 0.47065997584508035 0.204968776432278 0.2102782034433361 0.16359498099514638
-19.800000000000015 0.3524065818232727 0.22708255025872937 0.4522185255908597 0.2107082230075531 0.18898591122196826 0.16057403681593926
-19.600000000000016 0.35570647613833745 0.22548566093908196 0.43664910791900513 0.20786940832482498 0.1784802036973037 0.1721308688969853
-19.400000000000016 0.3369660258302415 0.23358710192207166 0.40926445189080174 0.22100426447361513 0.15567836981404054 0.18128791764170374
-19.200000000000017 0.3188928491222037 0.23556153698657126 0.3932536399458746 0.2262678550252995 0.16174397182877207 0.18025488541596213
-19.000000000000018 0.30809818233291014 0.2400711468163453 0.38524715937956866 0.23381145928344443 0.16393025786493762 0.18935817291561025
-18.80000000000002 0.31359436559317005 0.2421218056819864 0.3747556034041787 0.23729297847304742 0.1441803452426343 0.1828113446647764
-18.60000000000002 0.2902563602620722 0.23827106890601912 0.3479684079667434 0.2340918885741958 0.12322969991753889 0.1867017956213411
-18.40000000000002 0.2752679047273143 0.23444239368687103 0.32000470094040473 0.23680050401344238 0.17271059164617178 0.17970657281615982
-18.20000000000002 0.24891185699965318 0.2401989647195809 0.2819744435191625 0.24362633443053616 0.15864802661616728 0.1937891985212331
-18.00000000000002 0.16005325619276134 0.24433942590862318 0.16795487845574494 0.2512140011982663 0.10660394548049487 0.1887775273787286
-17.800000000000022 0.18735805558320998 0.24887679494777895 0.21737842269978674 0.2526428467173463 0.03522653462612937 0.19619391265130895
-17.600000000000023 0.18207603872439979 0.22588367675023158 0.18765532622333744 0.2300990833004982 0.10356757053177058 0.17727690112564795
-17.400000000000023 0.0594443721453765 0.24531619296630114 0.058513768378905574 0.2474911841609892 0.09001631163786966 0.20509078128098082
-17.200000000000024 0.016338140936609978 0.24374877408317355 0.04291612497353362 0.25158496104392725 0.003483653400225437 0.17617473429380995
-17.000000000000025 0.05889712657559244 0.23993922764585374 0.07585106948705826 0.23533653694233136 -0.04711573776415379 0.2578869938385062
-16.800000000000026 0.059210371487660736 0.2463610949538679 0.08498004379111278 0.2452652922471253 -0.025360449538847297 0.21926503884747064
-16.600000000000026 -0.04472193092975019 0.2499499280984622 -0.043915219955996954 0.23123249428281886 -0.04472193092975019 0.32660770968048525
-16.400000000000027 0.04933659254190558 0.23631028745126625 0.03808323580948104 0.2555760816875649 0.05362337690397293 0.1342390465903218
-16.200000000000028 0.020191581340472744 0.2246565229060714 0.03331725606206418 0.23405117002751902 -0.06839942374273138 0.18597495493622548
-16.00000000000003 -0.006074827758266371 0.21929387525560995 0.004388169972201198 0.2235730323062493 -0.1454084399627467 0.15923478180328018
-15.80000000000003 -0.06918640974729874 0.20466629463446004 -0.061799499902596436 0.2092218505915781 -0.12151814076557346 0.16531511827433193
-15.60000000000003 -0.17484228284082284 0.21601410288694123 -0.17484228284082284 0.22678851841786574 -0.17654151392808864 0.11471715201339541
-15.40000000000003 -0.07398481335999027 0.20883207262308517 -0.04158702642425509 0.2010195171663146 -0.22857169491466126 0.18435530756495752
-15.200000000000031 -0.12224531720005336 0.2260660363064339 -0.11841360563211502 0.23467497362689063 -0.21840312984469934 0.10619578092940081
-15.000000000000032 -0.21592916092547587 0.23298480089175663 -0.199231291062161 0.20320983147803742 -0.3957547242557278 0.27908575606805425
-14.800000000000033 -0.25864293424489593 0.21560615538326725 -0.23016172229900728 0.21995560704370032 -0.31152748882775083 0.1758776899276482
-14.600000000000033 -0.3074616999850344 0.19079113067734152 -0.26293119980401325 0.1874698112357663 -0.41382802876692215 0.18369490131362662
-14.400000000000034 -0.2583708683824292 0.1900272136613912 -0.2583708683824292 0.1662218585921195 -0.26752864107343166 0.2871338379143177
-14.200000000000035 -0.33706739128076924 0.19483960926919416 -0.33706739128076924 0.19483960926919416 -99.0 -99.0
-14.000000000000036 -0.4005895175289874 0.2218524136088935 -0.4005895175289874 0.21964383961770026 -99.0 -99.0
-13.800000000000036 -0.46107684515986436 0.18227250256741018 -0.46107684515986436 0.18227250256741018 -99.0 -99.0
-13.600000000000037 -0.520378550051242 0.24794569109586323 -0.520378550051242 0.22955280178157028 -0.5982963478246618 0.25638196912271993
-13.400000000000038 -0.41630505408922613 0.22361143576596865 -0.3681592752616547 0.236592201421232 -99.0 -99.0
-13.200000000000038 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
-13.000000000000039 -0.5367422196329451 0.1781201572326225 -0.4921737300939837 0.18228078036226145 -99.0 -99.0
-12.80000000000004 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
-12.60000000000004 -0.5313572641729059 0.183548224317867 -99.0 -99.0 -99.0 -99.0
-12.400000000000041 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
